Word,Value
vega,1.2503457652182428
phoenix,0.7807439081882807
charlott,0.42160435901129606
downtown,0.2782204736002685
scottsdal,-0.2678392752308969
guy,0.2137429527447393
street,0.13620404008220127
staff,-0.12947011622020232
area,-0.1271301290040112
kid,-0.12370611251650013
salon,-0.07702636582607422
wife,-0.06388533621257808
th,0.048917877437472106
year,0.04738654838341126
appoint,-0.0389029633349774
strip,0.03097675245937525
famili,-0.029212420839900995
great,0.024482885199195958
apart,0.02136924315826704
friendli,0.019540028976641883
home,-0.01759856608237148
park,0.017543669928537575
highli,-0.014643498396797548
neighborhood,0.014143102909040903
love,-0.014118877089093628
mexican,0.0139031235779963
clean,-0.012541160744601982
valley,-0.012212659068507329
spa,-0.012071792070791508
husband,-0.011579330725616808
dr,-0.010141742841652972
servic,-0.01013874620615751
cool,0.010025024305052338
daughter,-0.009346695257892385
profession,-0.00875248054356882
dont,0.008650740209773387
alway,-0.008337471249104859
patient,-0.0069922428569921926
knowledg,-0.006980665311337557
new,-0.0068331994837199745
best,0.006786011570833412
visit,-0.006492658256091443
first,-0.006318984234146221
move,-0.0062956742179313225
show,0.0062272690042012545
citi,0.005889089497544719
lunch,0.005679175115017244
beauti,-0.005531827045980044
call,0.0053179815624754614
truck,0.005206524956717086
build,0.0048728242852939824
week,-0.004844276523161072
excel,-0.004797376837808075
cheap,0.004453005725535715
still,0.004142845986526536
time,-0.0040054714361583395
place,0.003988817368799532
road,-0.0039818937527502304
month,-0.00318021325859892
us,-0.003169850289454911
hotel,0.0031617725613337783
spot,0.0030668946211537852
drink,0.0030426366933421697
choic,-0.002975373562780348
facil,-0.002854138758420423
client,-0.0028313740812434913
come,0.002690447164788085
son,-0.002648555386625843
hous,-0.002545229739670504
shop,0.002540117032262621
event,0.002476930183835193
treatment,-0.0024578803435501943
money,0.002359014525785664
restaur,-0.0022983292521163204
local,-0.0021384462778378448
differ,-0.0021048447669683337
star,0.0021004939501818106
worker,0.0020964342714762654
drive,-0.002086715799610396
town,0.0020488889949863308
disappoint,-0.0019593713862234683
old,0.0019293946017954644
attent,-0.001868032161746872
massag,-0.0018591382877342934
good,-0.0018530565516277871
bar,0.001741807238543826
secur,0.0017408987138181585
pretti,0.0017221564715297
rent,0.0016745946603149413
schedul,-0.0016628879309625874
worst,0.0016605459930797235
game,0.0016444616880559276
offer,-0.0016428165828960089
result,-0.0016392713699246414
order,-0.0016020803544522213
varieti,-0.0015811110453247802
man,0.0015620127833488248
mile,-0.0015271759082517026
corner,0.001483654355042695
see,-0.0014672991591754053
peopl,0.0014509399256808124
sushi,-0.001398337766138206
driver,0.0013840854788764556
rice,0.0013284796252424464
also,-0.0013273546139152279
la,0.0013212017788264562
ticket,0.0013133397086325333
favorit,-0.0013127540195614332
bartend,0.0013002500479247759
student,0.0012894597230414667
explain,-0.001257569880323291
car,0.0012408566190473269
often,-0.0012110522830571118
select,-0.001199694563296467
phone,0.0011723137392168365
suck,0.001158801685403058
later,-0.0011393464251282027
ladi,0.001136161525666908
locat,0.00113474849644043
team,-0.0011315963972196215
amaz,-0.0011292883723904089
bad,0.0010992965215465868
charg,0.0010961305131947244
fun,-0.0010882839122791131
worri,-0.0010832267578714898
