,propertyCrimes,violentCrimes,zipcodes
244,40.4,31.4,44045
245,23.1,17.0,44046
246,22.8,16.7,44050
247,66.1,56.9,44052
248,47.1,37.6,44053
249,28.9,23.7,44054
250,68.1,59.2,44055
251,11.7,5.1,44056
252,27.4,22.9,44057
253,24.3,17.1,44060
254,32.4,25.8,44062
255,15.8,10.0,44064
256,24.2,17.6,44065
257,18.8,14.6,44067
258,27.8,21.9,44070
259,7.3,4.3,44072
260,34.7,26.6,44074
261,34.7,26.6,44077
262,20.8,15.1,44081
263,25.5,21.0,44087
264,28.9,21.3,44090
265,34.2,28.0,44092
266,33.5,25.3,44094
267,34.0,26.1,44095
268,86.0,85.1,44102
269,85.9,85.0,44103
270,86.1,85.2,44104
271,86.1,85.2,44105
272,82.7,81.5,44106
273,46.2,38.0,44107
274,86.1,85.2,44108
275,86.1,85.2,44109
276,86.0,85.1,44110
277,81.7,80.3,44111
278,65.8,63.8,44112
279,85.8,84.9,44113
280,84.5,83.5,44114
281,84.0,83.0,44115
282,25.5,21.1,44116
283,64.4,60.6,44117
284,41.1,33.8,44118
285,81.7,80.2,44119
286,85.3,84.0,44120
287,46.4,37.2,44121
288,34.1,26.0,44122
289,60.6,57.1,44123
290,31.3,25.6,44124
291,54.2,46.3,44125
292,29.9,24.8,44126
293,86.2,85.3,44127
294,85.9,85.0,44128
295,36.1,30.6,44129
296,34.7,26.9,44130
297,13.6,10.0,44131
298,63.8,60.1,44132
299,23.4,17.9,44133
300,31.6,26.4,44134
301,82.9,81.9,44135
302,21.4,13.9,44136
303,58.1,53.9,44137
304,19.3,14.8,44138
305,15.8,11.0,44139
306,11.3,8.3,44140
307,14.2,10.0,44141
308,35.3,31.1,44142
309,34.6,25.9,44143
310,57.4,39.7,44144
311,23.9,17.4,44145
312,51.7,42.1,44146
313,14.2,11.3,44147
314,16.4,10.1,44149
315,18.2,13.1,44202
316,43.4,34.6,44203
317,23.7,19.2,44212
318,40.4,31.1,44221
319,28.9,20.3,44223
320,29.4,21.5,44224
321,24.7,18.7,44231
322,6.6,3.4,44233
323,21.1,14.7,44234
324,8.7,5.1,44236
325,44.5,37.9,44240
326,34.2,27.9,44241
327,9.9,4.8,44253
328,32.0,26.1,44255
329,21.5,15.9,44256
330,25.2,20.1,44262
331,22.2,14.4,44264
332,46.7,33.7,44266
333,28.2,20.4,44278
334,13.6,7.9,44280
335,25.0,18.0,44281
336,11.7,6.4,44286
337,74.8,58.4,44301
338,64.2,37.9,44303
339,80.2,68.4,44307
340,73.9,57.1,44308
341,75.6,59.1,44310
342,61.9,35.5,44312
343,65.8,41.2,44313
344,74.0,56.7,44314
345,30.8,22.0,44319
346,77.4,63.2,44320
347,20.1,14.0,44321
348,21.7,15.0,44333
349,28.3,22.0,45150
350,43.1,35.2,45612
351,10.1,4.8,48374
352,38.0,25.9,53213
353,18.5,12.1,53508
354,18.9,13.4,53515
355,15.5,10.9,53517
356,12.2,7.4,53521
357,17.9,12.0,53527
358,18.1,11.9,53528
359,19.9,13.8,53529
360,22.1,14.8,53531
361,18.0,14.0,53532
362,21.2,15.3,53555
363,17.4,10.8,53558
364,27.7,21.9,53559
365,28.2,20.7,53562
366,20.3,13.0,53572
367,19.0,12.6,53574
368,18.3,14.1,53575
369,27.2,20.1,53583
370,25.5,20.0,53589
371,32.0,23.8,53590
372,18.7,12.1,53593
373,15.8,9.9,53597
374,23.9,18.0,53598
375,56.1,38.0,53703
376,48.8,25.5,53704
377,36.5,15.2,53705
378,38.4,12.0,53706
379,36.9,15.0,53711
380,70.8,59.5,53713
381,49.6,27.3,53714
382,52.7,33.0,53715
383,37.4,15.2,53716
384,39.3,15.6,53717
385,37.9,15.3,53718
386,39.6,15.6,53719
387,49.9,25.5,53726
388,24.0,17.1,53925
389,29.5,23.4,58054
390,38.3,27.3,60173
391,43.8,37.5,60435
392,48.7,49.7,60657
393,50.8,39.7,61801
394,47.0,37.0,61802
395,26.9,21.9,61810
396,26.0,22.7,61816
397,49.6,45.7,61820
398,44.1,39.2,61821
399,24.2,19.6,61822
400,64.5,59.1,61832
401,21.7,17.7,61840
402,26.3,21.0,61843
403,22.9,17.9,61844
404,16.9,13.4,61847
405,19.4,15.1,61849
406,24.6,20.2,61851
407,19.8,14.1,61853
408,21.5,17.1,61854
409,18.4,13.1,61856
410,17.8,13.8,61859
411,13.6,9.2,61864
412,52.9,48.7,61866
413,22.4,17.6,61873
414,34.3,26.8,61874
415,21.9,17.3,61877
416,34.3,26.9,61878
417,21.8,16.7,61880
418,34.5,28.6,61953
419,25.8,20.3,61956
420,58.4,34.5,68114
421,49.8,40.8,71655
422,57.6,47.2,71854
423,43.3,41.6,72041
424,76.9,71.3,75247
425,52.1,41.2,75904
426,64.7,48.1,78409
427,57.9,26.3,78701
428,44.8,32.5,81058
429,20.6,11.9,84020
430,67.6,55.6,85003
431,70.4,61.4,85004
432,76.5,69.8,85006
433,76.8,70.2,85007
434,75.8,68.9,85008
435,77.0,70.5,85009
436,55.2,38.9,85012
437,64.1,51.2,85013
438,71.7,61.5,85014
439,76.6,69.9,85015
440,63.8,51.0,85016
441,76.3,69.5,85017
442,59.9,45.9,85018
443,76.5,69.8,85019
444,62.6,49.7,85020
445,71.3,61.4,85021
446,59.8,46.0,85022
447,58.1,43.8,85023
448,48.2,33.9,85024
449,55.5,40.0,85027
450,41.7,29.8,85028
451,67.0,55.9,85029
452,76.9,70.3,85031
453,60.0,46.5,85032
454,72.4,64.7,85033
455,75.9,69.0,85034
456,76.7,70.1,85035
457,63.9,52.5,85037
458,76.6,70.0,85040
459,65.2,54.8,85041
460,63.8,52.5,85042
461,66.1,55.9,85043
462,52.4,35.6,85044
463,35.8,25.9,85045
464,42.9,30.2,85048
465,44.3,31.4,85050
466,68.2,58.0,85051
467,60.8,47.6,85053
468,54.7,37.2,85054
469,33.3,24.3,85083
470,45.2,31.5,85085
471,20.0,13.3,85086
472,20.6,14.9,85087
473,43.2,34.9,85120
474,51.2,43.3,85122
475,29.6,21.3,85140
476,22.7,16.2,85142
477,36.7,28.1,85143
478,37.1,29.0,85145
479,63.0,50.6,85201
480,53.8,38.6,85202
481,46.8,30.3,85203
482,49.9,34.8,85204
483,38.6,19.9,85205
484,39.8,21.0,85206
485,33.4,17.4,85207
486,36.1,17.3,85208
487,32.7,17.1,85209
488,62.7,51.2,85210
489,28.4,15.2,85212
490,35.0,18.1,85213
491,30.5,16.1,85215
492,38.4,16.9,85224
493,43.8,25.0,85225
494,31.4,12.2,85226
495,20.3,9.5,85233
496,20.3,9.5,85234
497,24.9,10.5,85248
498,22.4,9.9,85249
499,33.4,10.6,85250
500,47.2,25.4,85251
